Year,SpeciesTotal,RouteCount,AveragePerRoute
1980,1316672,82536,15.952699428128332
1981,1331922,81713,16.30000122379548
1982,1305752,79452,16.434476161707696
1983,1290864,80089,16.117868870881146
1984,1232140,78758,15.644632926178927
1985,1188719,76968,15.444327512732563
1986,1349407,84585,15.953265945498611
1987,1463046,92210,15.866457000325344
1988,1536946,97670,15.736111395515511
1989,1485477,96332,15.420389901590333
1990,1522869,100343,15.176634144883051
1991,1542083,101964,15.123798595582755
1992,1725143,113485,15.201506807067013
1993,1824542,122588,14.883528567233334
1994,1899731,128641,14.767694591926368
1995,1942177,131591,14.759193257897577
1996,1888027,131645,14.341805613581982
1997,1908649,130686,14.604846731861102
1998,1849291,129553,14.27439735089114
1999,1904013,133223,14.29192406716558
2000,1900172,132537,14.33691723820518
2001,1864208,132075,14.114768124171873
2002,1820043,128495,14.164309895326667
2003,1878879,131856,14.24947670185657
2004,1851311,133935,13.822458655317877
2005,1912786,138357,13.825003433147582
2006,1906786,136230,13.996814211260368
2007,1886569,137552,13.715314935442596
2008,1815665,134285,13.520981494582418
2009,1892522,139150,13.600589292130794
2010,1875341,136549,13.733831811291186
2011,1781066,134987,13.194352048715801
2012,1768791,134603,13.140799239244297
2013,1770361,136387,12.980423354131991
2014,1726671,133537,12.930281495016363
2015,1785153,135903,13.135493697710867
2016,1810888,139567,12.975044243983177
2017,1826584,142283,12.83768264655651
2018,1766827,140396,12.58459642724864
2019,1702130,136973,12.426755637972446
2021,1550181,125492,12.352827271857967
2022,1534323,124901,12.28431317603542
